model,mean_score,std_dev_score,z_interval_error,ci_lower,ci_upper,output_count
equator-llama3-70b-8192-nousresearch-hermes-3-llama-3.1-405b,56.666666666666664,49.971743428090825,12.644595698425785,44.95833333333337,68.33333333333333,60.0
equator-llama3.2-hermes-3-llama-3.1-405b,56.666666666666664,49.97174342809082,12.644595698425784,45.0,68.33333333333333,60.0
equator-llama3.2-llama3-70b-8192,28.333333333333332,45.4419602505485,11.498402410933723,18.333333333333332,40.0,60.0
equator-llama3-70b-8192-llama3.2,16.666666666666668,37.58230140014144,9.509634325746505,8.333333333333334,26.666666666666668,60.0
